text_id,text,date_est,business_hours
126,"Thank you @JackBrewerBSI. We’re with you all the way. The American people know what’s going on, they totally get it. Watch what happens in November 2020! Thank you for your continued support. Together, we are going to KEEP AMERICA GREAT! #BlackVoicesforTrump https://t.co/ftce8XJ3M0",2020-03-03T04:41:26Z,non-business hours
127,".....least 5 States &amp; the Nomination. Did the DNC &amp; Dems tell Elizabeth Warren to wait? If so, they were deadly, the race would have been over, &amp; Bernie would have won. Dirty double dealing? Nobody knows for sure, &amp; history will be the judge. But I say, here we go AGAIN, Bernie!",2020-03-08T04:42:08Z,non-business hours
128,"....very often FAKE NEWS. Lamestream Media should be forced to reveal sources, very much as they did in the long ago past. If they did that, the media would be trusted again, and Fake News would largely be a thing of the past!",2020-03-28T14:16:02Z,business hours
129,RT @realDonaldTrump: https://t.co/FH26OaIh2b,2020-04-30T00:53:12Z,business hours
130,RT @realDonaldTrump: https://t.co/efAolmZvuW,2020-04-30T00:53:10Z,business hours
131,"RT @GOPChairwoman: While 2020 Democrats talk about helping the African American community, @realDonaldTrump has acted:

*Most funding for B…",2020-02-08T12:17:19Z,non-business hours
132,"RT @DiamondandSilk: Poverty Has Hit The Lowest Level In Two Decades Thanks To @realDonaldTrump.  
#DemDebate  #democraticdebate",2020-02-08T12:16:55Z,non-business hours
133,"RT @GOPChairwoman: The #DemDebate was emblematic of the Democrats' week: a total disaster, short on ideas to actually help Americans.

@rea…",2020-02-08T12:16:42Z,non-business hours
134,Thank you John! https://t.co/5IVTZ2QY3r,2020-02-02T04:25:03Z,non-business hours
135,Happy birthday to a wonderful man &amp; friend! https://t.co/AaqQ6Pvtyw,2020-02-02T04:24:16Z,non-business hours
136,"The noble people of Iran—who love America—deserve a government that's more interested in helping them achieve their dreams than killing them for demanding respect. Instead of leading Iran toward ruin, its leaders should abandon terror and Make Iran Great Again! https://t.co/RLjGsC5WLc",2020-01-17T23:10:21Z,business hours
137,RT @gen_jackkeane: I am honored and overwhelmed by President Trump’s decision to award the Medal of Freedom. I lived a military life among…,2020-03-09T10:27:37Z,non-business hours
138,RT @realDonaldTrump: https://t.co/UJ9a8k4oQk,2020-03-29T03:30:51Z,non-business hours
139,RT @GenFlynn: https://t.co/Q833u4Is8h,2020-04-30T00:54:03Z,business hours
140,#PrayForNashville https://t.co/cja0lMG6VC,2020-03-03T17:34:28Z,business hours
141,RT @DrPaulGosar: Also. There seems to be a Leftist trope that the Covid19 is a “hoax.”   You do a disservice by spreading fake information.…,2020-03-09T10:36:12Z,non-business hours
142,"Wall is moving along strong, tall and quickly. Thank you Jim for all of your help! https://t.co/1dlC0dZ0ui",2020-02-02T04:28:55Z,non-business hours
143,Will be doing a press conference today at 5:00 P.M. The White House. People are working harder than I have ever seen people work. It is a beautiful thing to watch!,2020-03-29T14:01:57Z,business hours
144,RT @DonaldJTrumpJr: *He Won’t,2020-02-08T12:18:16Z,non-business hours
145,https://t.co/xCzgk5yoUK,2020-04-30T03:11:27Z,non-business hours
146,RT @ashleyhayek: First stop in the Hawkeye State! Women for Trump are excited to show support for @realDonaldTrump - a great panel with @La…,2020-01-18T13:04:17Z,non-business hours
147,I commend the hard work of Senator @SteveDaines and @SenCoryGardner in protecting funding for the Land and Water Conservation Fund for years to come. The citizens of Montana and Colorado thank you both!,2020-03-03T18:30:37Z,business hours
